,conta,duração,historico,motivo,quantia,poupança,emprego,pagador
344,positivo,10,pagamento em dia,carro novo,3949,ate 1000,1-4 anos,bom
345,sem conta,15,já atrasou pagamentos,radio/televisão,1459,ate 1000,1-4 anos,bom
346,positivo,13,já atrasou pagamentos,radio/televisão,882,ate 1000,1-4 anos,bom
347,positivo,24,pagamento em dia,radio/televisão,3758,ate 1000,desempregado,bom
348,sem conta,6,já atrasou pagamentos,negócios,1743,nao,1-4 anos,bom
349,positivo,9,já atrasou pagamentos,educação,1136,>1000,> 7 anos,mau
350,sem conta,9,pagamento em dia,itens de casa,1236,ate 1000,1-4 anos,bom
351,positivo,9,pagamento em dia,móveis,959,ate 1000,1-4 anos,mau
352,sem conta,18,já atrasou pagamentos,carro usado,3229,nao,desempregado,bom
353,negativo,12,pagamento em dia,radio/televisão,6199,ate 1000,1-4 anos,mau
354,sem conta,10,pagamento em dia,educação,727,ate 1000,> 7 anos,bom
355,positivo,24,pagamento em dia,carro novo,1246,ate 1000,1-4 anos,mau
356,sem conta,12,já atrasou pagamentos,radio/televisão,2331,nao,> 7 anos,bom
357,sem conta,36,já atrasou pagamentos,radio/televisão,4463,ate 1000,1-4 anos,mau
358,sem conta,12,pagamento em dia,radio/televisão,776,ate 1000,1-4 anos,bom
359,negativo,30,pagamento em dia,móveis,2406,ate 1000,4-7 anos,mau
360,positivo,18,pagamento em dia,educação,1239,nao,1-4 anos,bom
361,positivo,12,pagamento em dia,radio/televisão,3399,nao,> 7 anos,bom
362,positivo,12,já atrasou pagamentos,carro novo,2247,ate 1000,1-4 anos,bom
363,sem conta,6,pagamento em dia,móveis,1766,ate 1000,1-4 anos,bom
364,negativo,18,pagamento em dia,móveis,2473,ate 1000,desempregado,mau
365,sem conta,12,pagamento em dia,negócios,1542,ate 1000,4-7 anos,bom
366,sem conta,18,já atrasou pagamentos,carro usado,3850,ate 1000,4-7 anos,bom
367,negativo,18,pagamento em dia,móveis,3650,ate 1000,1-4 anos,bom
368,negativo,36,pagamento em dia,móveis,3446,ate 1000,> 7 anos,mau
369,positivo,18,pagamento em dia,móveis,3001,ate 1000,4-7 anos,bom
370,sem conta,36,pagamento em dia,carro novo,3079,nao,1-4 anos,bom
371,sem conta,18,já atrasou pagamentos,radio/televisão,6070,ate 1000,> 7 anos,bom
372,sem conta,10,já atrasou pagamentos,móveis,2146,ate 1000,1-4 anos,bom
373,sem conta,60,já atrasou pagamentos,carro novo,13756,nao,> 7 anos,bom
374,positivo,60,pagamento em dia,outros,14782,nao,> 7 anos,mau
375,negativo,48,pagamento em dia,negócios,7685,ate 1000,4-7 anos,mau
376,sem conta,18,já atrasou pagamentos,radio/televisão,2320,ate 1000,desempregado,bom
377,sem conta,7,já atrasou pagamentos,radio/televisão,846,nao,> 7 anos,bom
378,positivo,36,pagamento em dia,carro novo,14318,ate 1000,> 7 anos,mau
379,sem conta,6,já atrasou pagamentos,carro novo,362,nao,1-4 anos,bom
380,negativo,20,pagamento em dia,móveis,2212,nao,4-7 anos,bom
381,positivo,18,pagamento em dia,carro usado,12976,ate 1000,desempregado,mau
382,sem conta,22,pagamento em dia,carro novo,1283,nao,4-7 anos,bom
383,positivo,12,pagamento em dia,carro novo,1330,ate 1000,1-4 anos,bom
384,sem conta,30,já atrasou pagamentos,negócios,4272,nao,1-4 anos,bom
385,sem conta,18,já atrasou pagamentos,radio/televisão,2238,ate 1000,1-4 anos,bom
386,sem conta,18,pagamento em dia,radio/televisão,1126,nao,1-4 anos,bom
387,positivo,18,já atrasou pagamentos,móveis,7374,ate 1000,desempregado,bom
388,positivo,15,já atrasou pagamentos,negócios,2326,ate 1000,1-4 anos,bom
389,sem conta,9,pagamento em dia,negócios,1449,ate 1000,4-7 anos,bom
390,sem conta,18,pagamento em dia,carro novo,1820,ate 1000,1-4 anos,bom
391,positivo,12,pagamento em dia,móveis,983,>1000,1-4 anos,bom
392,negativo,36,pagamento em dia,carro novo,3249,ate 1000,4-7 anos,bom
393,negativo,6,já atrasou pagamentos,radio/televisão,1957,ate 1000,4-7 anos,bom
394,sem conta,9,já atrasou pagamentos,móveis,2406,ate 1000,desempregado,bom
395,positivo,39,já atrasou pagamentos,educação,11760,nao,4-7 anos,bom
396,negativo,12,pagamento em dia,móveis,2578,ate 1000,desempregado,bom
397,negativo,36,já atrasou pagamentos,móveis,2348,ate 1000,1-4 anos,bom
398,positivo,12,pagamento em dia,carro novo,1223,ate 1000,> 7 anos,mau
399,sem conta,24,já atrasou pagamentos,radio/televisão,1516,>1000,1-4 anos,bom
400,sem conta,18,pagamento em dia,radio/televisão,1473,ate 1000,1-4 anos,bom
401,positivo,18,já atrasou pagamentos,negócios,1887,nao,1-4 anos,bom
402,sem conta,24,já atrasou pagamentos,negócios,8648,ate 1000,1-4 anos,mau
403,sem conta,14,já atrasou pagamentos,carro novo,802,ate 1000,1-4 anos,bom
404,positivo,18,já atrasou pagamentos,carro novo,2899,nao,> 7 anos,bom
405,positivo,24,pagamento em dia,radio/televisão,2039,ate 1000,1-4 anos,mau
406,sem conta,24,já atrasou pagamentos,carro usado,2197,nao,4-7 anos,bom
407,negativo,15,pagamento em dia,radio/televisão,1053,ate 1000,1-4 anos,bom
408,sem conta,24,pagamento em dia,radio/televisão,3235,ate 1000,> 7 anos,bom
409,positivo,12,já atrasou pagamentos,carro novo,939,ate 1000,4-7 anos,mau
410,positivo,24,pagamento em dia,radio/televisão,1967,ate 1000,> 7 anos,bom
411,sem conta,33,já atrasou pagamentos,carro usado,7253,ate 1000,4-7 anos,bom
412,sem conta,12,já atrasou pagamentos,negócios,2292,ate 1000,desempregado,mau
413,sem conta,10,pagamento em dia,carro novo,1597,ate 1000,1-4 anos,bom
414,negativo,24,pagamento em dia,carro novo,1381,nao,1-4 anos,mau
415,sem conta,36,já atrasou pagamentos,carro usado,5842,ate 1000,> 7 anos,bom
416,negativo,12,pagamento em dia,carro novo,2579,ate 1000,1-4 anos,mau
417,negativo,18,já atrasou pagamentos,educação,8471,nao,1-4 anos,bom
418,sem conta,21,pagamento em dia,carro novo,2782,ate 1000,4-7 anos,bom
419,positivo,18,pagamento em dia,carro novo,1042,nao,1-4 anos,mau
420,sem conta,15,pagamento em dia,carro novo,3186,>1000,4-7 anos,bom
421,positivo,12,pagamento em dia,carro usado,2028,nao,1-4 anos,bom
422,positivo,12,já atrasou pagamentos,carro novo,958,ate 1000,4-7 anos,bom
423,sem conta,21,já atrasou pagamentos,móveis,1591,nao,4-7 anos,bom
424,positivo,12,pagamento em dia,móveis,2762,nao,> 7 anos,mau
425,positivo,18,pagamento em dia,carro usado,2779,ate 1000,1-4 anos,bom
426,sem conta,28,já atrasou pagamentos,radio/televisão,2743,ate 1000,> 7 anos,bom
427,sem conta,18,já atrasou pagamentos,radio/televisão,1149,>1000,1-4 anos,bom
428,sem conta,9,pagamento em dia,móveis,1313,ate 1000,> 7 anos,bom
429,negativo,18,já atrasou pagamentos,reparos,1190,ate 1000,desempregado,mau
430,sem conta,5,pagamento em dia,negócios,3448,ate 1000,4-7 anos,bom
431,positivo,24,pagamento em dia,outros,11328,ate 1000,1-4 anos,mau
432,negativo,6,já atrasou pagamentos,móveis,1872,ate 1000,desempregado,bom
433,sem conta,24,já atrasou pagamentos,reparos,2058,ate 1000,1-4 anos,bom
434,negativo,9,pagamento em dia,móveis,2136,ate 1000,1-4 anos,bom
435,positivo,12,pagamento em dia,radio/televisão,1484,nao,1-4 anos,mau
436,sem conta,6,pagamento em dia,reparos,660,ate 1000,4-7 anos,bom
437,sem conta,24,já atrasou pagamentos,carro novo,1287,>1000,> 7 anos,bom
438,negativo,42,já atrasou pagamentos,reparos,3394,ate 1000,desempregado,bom
439,positivo,12,pagamento em dia,negócios,609,ate 1000,1-4 anos,mau
440,sem conta,12,pagamento em dia,carro novo,1884,ate 1000,> 7 anos,bom
441,negativo,12,pagamento em dia,móveis,1620,ate 1000,1-4 anos,bom
442,positivo,20,já atrasou pagamentos,outros,2629,ate 1000,1-4 anos,bom
443,sem conta,12,pagamento em dia,educação,719,ate 1000,> 7 anos,mau
444,positivo,48,já atrasou pagamentos,móveis,5096,ate 1000,1-4 anos,mau
445,sem conta,9,já atrasou pagamentos,educação,1244,nao,> 7 anos,bom
446,negativo,36,pagamento em dia,carro novo,1842,ate 1000,1-4 anos,mau
447,positivo,7,pagamento em dia,radio/televisão,2576,ate 1000,1-4 anos,bom
448,positivo,12,pagamento em dia,móveis,1424,nao,> 7 anos,bom
449,positivo,15,já atrasou pagamentos,reparos,1512,>1000,1-4 anos,mau
450,sem conta,36,já atrasou pagamentos,carro usado,11054,nao,1-4 anos,bom
451,sem conta,6,pagamento em dia,radio/televisão,518,ate 1000,1-4 anos,bom
452,sem conta,12,pagamento em dia,móveis,2759,ate 1000,> 7 anos,bom
453,sem conta,24,pagamento em dia,carro usado,2670,ate 1000,> 7 anos,bom
454,negativo,24,pagamento em dia,carro novo,4817,ate 1000,4-7 anos,mau
455,sem conta,24,pagamento em dia,carro usado,2679,ate 1000,1-4 anos,bom
456,negativo,11,já atrasou pagamentos,carro novo,3905,ate 1000,1-4 anos,bom
457,negativo,12,pagamento em dia,carro usado,3386,ate 1000,> 7 anos,mau
458,negativo,6,pagamento em dia,itens de casa,343,ate 1000,1-4 anos,bom
459,sem conta,18,pagamento em dia,radio/televisão,4594,ate 1000,1-4 anos,bom
460,negativo,36,pagamento em dia,móveis,3620,ate 1000,1-4 anos,bom
461,negativo,15,pagamento em dia,carro novo,1721,ate 1000,1-4 anos,bom
462,positivo,12,pagamento em dia,móveis,3017,ate 1000,1-4 anos,bom
463,positivo,12,pagamento em dia,retreinamentos,754,nao,> 7 anos,bom
464,sem conta,18,pagamento em dia,negócios,1950,ate 1000,4-7 anos,bom
465,negativo,24,pagamento em dia,carro usado,2924,ate 1000,1-4 anos,bom
466,negativo,24,já atrasou pagamentos,radio/televisão,1659,ate 1000,1-4 anos,mau
467,sem conta,48,já atrasou pagamentos,radio/televisão,7238,nao,> 7 anos,bom
468,sem conta,33,já atrasou pagamentos,negócios,2764,ate 1000,1-4 anos,bom
469,sem conta,24,já atrasou pagamentos,carro usado,4679,ate 1000,4-7 anos,bom
470,positivo,24,pagamento em dia,radio/televisão,3092,nao,1-4 anos,mau
471,negativo,6,pagamento em dia,educação,448,ate 1000,1-4 anos,mau
472,negativo,9,pagamento em dia,carro novo,654,ate 1000,1-4 anos,mau
473,sem conta,6,pagamento em dia,retreinamentos,1238,nao,desempregado,bom
474,positivo,18,já atrasou pagamentos,radio/televisão,1245,ate 1000,1-4 anos,mau
475,negativo,18,pagamento em dia,móveis,3114,ate 1000,1-4 anos,mau
476,sem conta,39,pagamento em dia,carro usado,2569,ate 1000,1-4 anos,bom
477,positivo,24,pagamento em dia,radio/televisão,5152,ate 1000,4-7 anos,bom
478,positivo,12,pagamento em dia,negócios,1037,nao,4-7 anos,bom
479,negativo,15,já atrasou pagamentos,móveis,1478,ate 1000,> 7 anos,bom
480,positivo,12,já atrasou pagamentos,radio/televisão,3573,ate 1000,1-4 anos,bom
481,positivo,24,pagamento em dia,carro novo,1201,ate 1000,1-4 anos,bom
482,negativo,30,pagamento em dia,móveis,3622,>1000,> 7 anos,bom
483,sem conta,15,já atrasou pagamentos,móveis,960,>1000,4-7 anos,bom
484,sem conta,12,já atrasou pagamentos,carro novo,1163,ate 1000,1-4 anos,bom
485,positivo,6,já atrasou pagamentos,carro novo,1209,ate 1000,desempregado,mau
486,sem conta,12,pagamento em dia,radio/televisão,3077,ate 1000,1-4 anos,bom
487,sem conta,24,pagamento em dia,carro novo,3757,ate 1000,> 7 anos,bom
488,sem conta,10,pagamento em dia,carro novo,1418,nao,1-4 anos,bom
489,sem conta,6,pagamento em dia,carro novo,3518,ate 1000,1-4 anos,bom
490,sem conta,12,já atrasou pagamentos,radio/televisão,1934,ate 1000,> 7 anos,bom
491,positivo,27,pagamento em dia,negócios,8318,ate 1000,> 7 anos,mau
492,sem conta,6,já atrasou pagamentos,radio/televisão,1237,nao,1-4 anos,bom
493,positivo,6,pagamento em dia,radio/televisão,368,nao,> 7 anos,bom
494,negativo,12,já atrasou pagamentos,carro novo,2122,ate 1000,1-4 anos,bom
495,negativo,24,pagamento em dia,móveis,2996,nao,1-4 anos,mau
496,positivo,36,pagamento em dia,móveis,9034,nao,1-4 anos,mau
497,sem conta,24,já atrasou pagamentos,móveis,1585,ate 1000,4-7 anos,bom
498,positivo,18,pagamento em dia,radio/televisão,1301,ate 1000,> 7 anos,bom
499,positivo,6,já atrasou pagamentos,carro novo,1323,nao,> 7 anos,bom
500,negativo,24,pagamento em dia,carro novo,3123,ate 1000,1-4 anos,mau
501,negativo,36,pagamento em dia,carro usado,5493,ate 1000,> 7 anos,bom
502,positivo,9,pagamento em dia,radio/televisão,1126,nao,> 7 anos,bom
503,positivo,24,já atrasou pagamentos,radio/televisão,1216,nao,1-4 anos,mau
504,negativo,24,pagamento em dia,carro novo,1207,ate 1000,1-4 anos,mau
505,sem conta,10,pagamento em dia,carro novo,1309,nao,1-4 anos,mau
506,positivo,15,já atrasou pagamentos,carro usado,2360,ate 1000,1-4 anos,bom
507,positivo,15,pagamento em dia,carro novo,6850,nao,desempregado,mau
508,sem conta,24,pagamento em dia,radio/televisão,1413,ate 1000,1-4 anos,bom
509,sem conta,39,pagamento em dia,carro usado,8588,nao,> 7 anos,bom
510,negativo,12,pagamento em dia,carro novo,759,ate 1000,4-7 anos,mau
511,sem conta,36,pagamento em dia,carro usado,4686,ate 1000,1-4 anos,bom
512,positivo,15,pagamento em dia,negócios,2687,ate 1000,4-7 anos,bom
513,positivo,12,já atrasou pagamentos,radio/televisão,585,ate 1000,1-4 anos,bom
514,sem conta,24,pagamento em dia,carro novo,2255,nao,1-4 anos,bom
515,negativo,6,já atrasou pagamentos,carro novo,609,ate 1000,4-7 anos,bom
516,negativo,6,já atrasou pagamentos,carro novo,1361,ate 1000,1-4 anos,bom
517,sem conta,36,já atrasou pagamentos,móveis,7127,ate 1000,1-4 anos,mau
518,negativo,6,pagamento em dia,carro novo,1203,nao,> 7 anos,bom
519,sem conta,6,já atrasou pagamentos,radio/televisão,700,nao,> 7 anos,bom
520,sem conta,24,já atrasou pagamentos,reparos,5507,ate 1000,> 7 anos,bom
521,negativo,18,pagamento em dia,radio/televisão,3190,ate 1000,1-4 anos,mau
522,negativo,48,pagamento em dia,móveis,7119,ate 1000,1-4 anos,mau
523,sem conta,24,pagamento em dia,carro usado,3488,nao,4-7 anos,bom
524,positivo,18,pagamento em dia,radio/televisão,1113,ate 1000,1-4 anos,bom
525,positivo,26,pagamento em dia,carro usado,7966,ate 1000,1-4 anos,bom
526,sem conta,15,já atrasou pagamentos,educação,1532,nao,1-4 anos,bom
527,sem conta,4,já atrasou pagamentos,radio/televisão,1503,ate 1000,4-7 anos,bom
528,negativo,36,pagamento em dia,radio/televisão,2302,ate 1000,1-4 anos,mau
529,negativo,6,pagamento em dia,carro novo,662,ate 1000,1-4 anos,bom
530,positivo,36,pagamento em dia,educação,2273,ate 1000,4-7 anos,bom
531,positivo,15,pagamento em dia,carro novo,2631,nao,1-4 anos,mau
532,sem conta,12,já atrasou pagamentos,carro usado,1503,ate 1000,1-4 anos,bom
533,sem conta,24,pagamento em dia,radio/televisão,1311,nao,4-7 anos,bom
534,sem conta,24,pagamento em dia,radio/televisão,3105,nao,1-4 anos,bom
535,positivo,21,já atrasou pagamentos,educação,2319,ate 1000,1-4 anos,mau
536,negativo,6,pagamento em dia,carro novo,1374,nao,desempregado,bom
537,positivo,18,já atrasou pagamentos,móveis,3612,ate 1000,> 7 anos,bom
538,negativo,48,pagamento em dia,carro novo,7763,ate 1000,> 7 anos,mau
539,positivo,18,pagamento em dia,móveis,3049,ate 1000,1-4 anos,bom
540,positivo,12,pagamento em dia,radio/televisão,1534,ate 1000,1-4 anos,mau
541,sem conta,24,já atrasou pagamentos,carro novo,2032,ate 1000,> 7 anos,bom
542,negativo,30,pagamento em dia,móveis,6350,nao,> 7 anos,mau
543,positivo,18,pagamento em dia,móveis,2864,ate 1000,1-4 anos,mau
544,sem conta,12,já atrasou pagamentos,carro novo,1255,ate 1000,> 7 anos,bom
545,negativo,24,já atrasou pagamentos,carro novo,1333,ate 1000,desempregado,mau
546,sem conta,24,já atrasou pagamentos,carro novo,2022,ate 1000,1-4 anos,bom
547,sem conta,24,pagamento em dia,radio/televisão,1552,ate 1000,4-7 anos,bom
548,negativo,12,pagamento em dia,radio/televisão,626,ate 1000,1-4 anos,mau
549,sem conta,48,já atrasou pagamentos,carro usado,8858,nao,4-7 anos,bom
550,sem conta,12,já atrasou pagamentos,reparos,996,nao,4-7 anos,bom
551,sem conta,6,pagamento em dia,radio/televisão,1750,ate 1000,> 7 anos,bom
552,negativo,48,pagamento em dia,radio/televisão,6999,ate 1000,4-7 anos,mau
553,positivo,12,já atrasou pagamentos,carro novo,1995,nao,1-4 anos,bom
554,positivo,9,pagamento em dia,educação,1199,ate 1000,4-7 anos,bom
555,positivo,12,pagamento em dia,radio/televisão,1331,ate 1000,1-4 anos,mau
556,positivo,18,pagamento em dia,carro novo,2278,nao,1-4 anos,mau
557,sem conta,21,pagamento em dia,carro novo,5003,nao,1-4 anos,mau
558,negativo,24,pagamento em dia,móveis,3552,ate 1000,4-7 anos,mau
559,positivo,18,já atrasou pagamentos,móveis,1928,ate 1000,1-4 anos,mau
560,negativo,24,pagamento em dia,carro usado,2964,nao,> 7 anos,bom
561,negativo,24,pagamento em dia,radio/televisão,1546,ate 1000,4-7 anos,mau
562,positivo,6,já atrasou pagamentos,radio/televisão,683,ate 1000,1-4 anos,bom
563,positivo,36,pagamento em dia,carro novo,12389,nao,1-4 anos,mau
564,positivo,24,já atrasou pagamentos,negócios,4712,nao,1-4 anos,bom
565,positivo,24,já atrasou pagamentos,radio/televisão,1553,nao,4-7 anos,bom
566,negativo,12,pagamento em dia,carro novo,1372,ate 1000,4-7 anos,mau
567,sem conta,24,já atrasou pagamentos,radio/televisão,2578,>1000,> 7 anos,bom
568,positivo,48,pagamento em dia,radio/televisão,3979,nao,4-7 anos,bom
569,negativo,48,pagamento em dia,radio/televisão,6758,ate 1000,1-4 anos,mau
570,negativo,24,pagamento em dia,móveis,3234,ate 1000,1-4 anos,mau
571,sem conta,30,já atrasou pagamentos,radio/televisão,5954,ate 1000,4-7 anos,bom
572,sem conta,24,pagamento em dia,carro usado,5433,nao,desempregado,bom
573,negativo,15,pagamento em dia,negócios,806,ate 1000,1-4 anos,bom
574,positivo,9,pagamento em dia,radio/televisão,1082,ate 1000,> 7 anos,bom
575,sem conta,15,já atrasou pagamentos,móveis,2788,ate 1000,4-7 anos,bom
576,positivo,12,pagamento em dia,radio/televisão,2930,ate 1000,4-7 anos,bom
577,sem conta,24,já atrasou pagamentos,educação,1927,nao,1-4 anos,bom
578,positivo,36,já atrasou pagamentos,carro novo,2820,ate 1000,1-4 anos,mau
579,sem conta,24,pagamento em dia,retreinamentos,937,ate 1000,1-4 anos,bom
580,positivo,18,já atrasou pagamentos,carro novo,1056,ate 1000,> 7 anos,mau
581,positivo,12,já atrasou pagamentos,carro novo,3124,ate 1000,1-4 anos,bom
582,sem conta,9,pagamento em dia,móveis,1388,ate 1000,1-4 anos,bom
583,positivo,36,pagamento em dia,reparos,2384,ate 1000,1-4 anos,mau
584,sem conta,12,pagamento em dia,carro novo,2133,nao,> 7 anos,bom
585,negativo,18,pagamento em dia,móveis,2039,ate 1000,1-4 anos,mau
586,negativo,9,já atrasou pagamentos,carro novo,2799,ate 1000,1-4 anos,bom
587,negativo,12,pagamento em dia,móveis,1289,ate 1000,1-4 anos,bom
588,negativo,18,pagamento em dia,itens de casa,1217,ate 1000,1-4 anos,mau
589,negativo,12,já atrasou pagamentos,móveis,2246,ate 1000,> 7 anos,mau
590,negativo,12,já atrasou pagamentos,radio/televisão,385,ate 1000,4-7 anos,bom
591,positivo,24,já atrasou pagamentos,carro novo,1965,nao,1-4 anos,bom
592,sem conta,21,pagamento em dia,negócios,1572,>1000,> 7 anos,bom
593,positivo,24,pagamento em dia,carro novo,2718,ate 1000,1-4 anos,mau
594,negativo,24,pagamento em dia,outros,1358,nao,> 7 anos,mau
595,positivo,6,pagamento em dia,carro novo,931,nao,1-4 anos,mau
596,negativo,24,pagamento em dia,carro novo,1442,ate 1000,4-7 anos,mau
597,positivo,24,pagamento em dia,negócios,4241,ate 1000,1-4 anos,mau
598,sem conta,18,já atrasou pagamentos,carro novo,2775,ate 1000,4-7 anos,mau
599,sem conta,24,já atrasou pagamentos,negócios,3863,ate 1000,1-4 anos,bom
600,positivo,7,pagamento em dia,radio/televisão,2329,ate 1000,1-4 anos,bom
601,positivo,9,pagamento em dia,móveis,918,ate 1000,1-4 anos,mau
602,positivo,24,pagamento em dia,educação,1837,ate 1000,4-7 anos,mau
603,sem conta,36,pagamento em dia,móveis,3349,ate 1000,1-4 anos,mau
604,positivo,10,pagamento em dia,móveis,1275,ate 1000,1-4 anos,bom
605,negativo,24,pagamento em dia,móveis,2828,ate 1000,1-4 anos,bom
606,sem conta,24,já atrasou pagamentos,negócios,4526,ate 1000,1-4 anos,bom
607,positivo,36,pagamento em dia,radio/televisão,2671,nao,1-4 anos,mau
608,sem conta,18,pagamento em dia,radio/televisão,2051,ate 1000,1-4 anos,bom
609,sem conta,15,pagamento em dia,carro usado,1300,nao,> 7 anos,bom
610,negativo,12,pagamento em dia,itens de casa,741,nao,desempregado,mau
611,positivo,10,pagamento em dia,carro novo,1240,nao,> 7 anos,mau
612,negativo,21,pagamento em dia,radio/televisão,3357,>1000,1-4 anos,bom
613,negativo,24,pagamento em dia,carro usado,3632,ate 1000,1-4 anos,bom
614,sem conta,18,já atrasou pagamentos,móveis,1808,ate 1000,4-7 anos,mau
615,positivo,48,pagamento em dia,negócios,12204,nao,1-4 anos,bom
616,positivo,60,já atrasou pagamentos,radio/televisão,9157,nao,1-4 anos,bom
617,negativo,6,já atrasou pagamentos,carro novo,3676,ate 1000,1-4 anos,bom
618,positivo,30,pagamento em dia,móveis,3441,nao,1-4 anos,mau
619,sem conta,12,pagamento em dia,carro novo,640,ate 1000,1-4 anos,bom
620,positivo,21,já atrasou pagamentos,negócios,3652,ate 1000,4-7 anos,bom
621,sem conta,18,já atrasou pagamentos,carro novo,1530,ate 1000,1-4 anos,mau
622,sem conta,48,pagamento em dia,negócios,3914,nao,1-4 anos,mau
623,negativo,12,pagamento em dia,móveis,1858,ate 1000,1-4 anos,bom
624,negativo,18,pagamento em dia,radio/televisão,2600,ate 1000,1-4 anos,mau
625,sem conta,15,pagamento em dia,radio/televisão,1979,nao,> 7 anos,bom
626,positivo,6,pagamento em dia,móveis,2116,ate 1000,1-4 anos,bom
627,positivo,9,pagamento em dia,carro novo,1437,nao,4-7 anos,mau
628,sem conta,42,já atrasou pagamentos,móveis,4042,ate 1000,1-4 anos,bom
629,sem conta,9,pagamento em dia,educação,3832,nao,> 7 anos,bom
630,negativo,24,pagamento em dia,radio/televisão,3660,ate 1000,1-4 anos,bom
631,negativo,18,pagamento em dia,móveis,1553,ate 1000,1-4 anos,mau
632,positivo,15,pagamento em dia,radio/televisão,1444,nao,1-4 anos,bom
633,sem conta,9,pagamento em dia,móveis,1980,ate 1000,1-4 anos,mau
634,positivo,24,pagamento em dia,carro novo,1355,ate 1000,1-4 anos,mau
635,sem conta,12,pagamento em dia,educação,1393,ate 1000,> 7 anos,bom
636,sem conta,24,pagamento em dia,radio/televisão,1376,ate 1000,4-7 anos,bom
637,sem conta,60,já atrasou pagamentos,radio/televisão,15653,ate 1000,4-7 anos,bom
638,sem conta,12,pagamento em dia,radio/televisão,1493,ate 1000,1-4 anos,bom
639,negativo,42,já atrasou pagamentos,radio/televisão,4370,ate 1000,4-7 anos,mau
640,negativo,18,pagamento em dia,educação,750,ate 1000,desempregado,mau
641,positivo,15,pagamento em dia,reparos,1308,ate 1000,> 7 anos,bom
642,sem conta,15,pagamento em dia,educação,4623,nao,1-4 anos,mau
643,sem conta,24,já atrasou pagamentos,radio/televisão,1851,ate 1000,4-7 anos,bom
644,negativo,18,já atrasou pagamentos,radio/televisão,1880,ate 1000,4-7 anos,bom
645,sem conta,36,já atrasou pagamentos,negócios,7980,nao,1-4 anos,mau
646,negativo,30,pagamento em dia,móveis,4583,ate 1000,1-4 anos,bom
647,sem conta,12,pagamento em dia,carro novo,1386,ate 1000,1-4 anos,mau
648,positivo,24,pagamento em dia,carro novo,947,ate 1000,4-7 anos,mau
649,negativo,12,pagamento em dia,educação,684,ate 1000,1-4 anos,mau
650,negativo,48,pagamento em dia,educação,7476,ate 1000,4-7 anos,bom
651,positivo,12,pagamento em dia,móveis,1922,ate 1000,1-4 anos,mau
652,negativo,24,pagamento em dia,carro novo,2303,ate 1000,> 7 anos,mau
653,positivo,36,já atrasou pagamentos,carro novo,8086,nao,> 7 anos,mau
654,sem conta,24,já atrasou pagamentos,carro usado,2346,ate 1000,4-7 anos,bom
655,negativo,14,pagamento em dia,carro novo,3973,ate 1000,desempregado,bom
656,positivo,12,pagamento em dia,carro novo,888,ate 1000,> 7 anos,mau
657,sem conta,48,pagamento em dia,radio/televisão,10222,nao,4-7 anos,bom
658,positivo,30,pagamento em dia,negócios,4221,ate 1000,1-4 anos,bom
659,positivo,18,já atrasou pagamentos,móveis,6361,ate 1000,> 7 anos,bom
660,positivo,12,pagamento em dia,radio/televisão,1297,ate 1000,1-4 anos,bom
661,negativo,12,pagamento em dia,carro novo,900,nao,1-4 anos,mau
662,sem conta,21,pagamento em dia,móveis,2241,ate 1000,> 7 anos,bom
663,positivo,6,já atrasou pagamentos,móveis,1050,ate 1000,desempregado,bom
664,positivo,6,já atrasou pagamentos,educação,1047,ate 1000,1-4 anos,bom
665,sem conta,24,já atrasou pagamentos,outros,6314,ate 1000,desempregado,bom
666,positivo,30,pagamento em dia,móveis,3496,>1000,1-4 anos,bom
667,sem conta,48,pagamento em dia,negócios,3609,ate 1000,1-4 anos,bom
668,negativo,12,já atrasou pagamentos,carro novo,4843,ate 1000,> 7 anos,mau
669,positivo,30,já atrasou pagamentos,radio/televisão,3017,ate 1000,> 7 anos,bom
670,sem conta,24,já atrasou pagamentos,negócios,4139,nao,1-4 anos,bom
671,sem conta,36,pagamento em dia,negócios,5742,nao,4-7 anos,bom
672,sem conta,60,pagamento em dia,carro novo,10366,ate 1000,> 7 anos,bom
673,sem conta,6,já atrasou pagamentos,carro novo,2080,ate 1000,1-4 anos,bom
674,sem conta,21,já atrasou pagamentos,negócios,2580,ate 1000,1-4 anos,mau
675,sem conta,30,já atrasou pagamentos,radio/televisão,4530,ate 1000,4-7 anos,bom
676,sem conta,24,já atrasou pagamentos,móveis,5150,ate 1000,> 7 anos,bom
677,positivo,72,pagamento em dia,radio/televisão,5595,nao,1-4 anos,mau
678,negativo,24,pagamento em dia,radio/televisão,2384,ate 1000,> 7 anos,bom
679,sem conta,18,pagamento em dia,radio/televisão,1453,ate 1000,1-4 anos,bom
680,sem conta,6,pagamento em dia,educação,1538,ate 1000,1-4 anos,bom
681,sem conta,12,pagamento em dia,radio/televisão,2279,nao,1-4 anos,bom
682,sem conta,15,já atrasou pagamentos,radio/televisão,1478,ate 1000,1-4 anos,bom
683,sem conta,24,já atrasou pagamentos,radio/televisão,5103,ate 1000,1-4 anos,bom
684,positivo,36,já atrasou pagamentos,negócios,9857,nao,4-7 anos,bom
685,sem conta,60,pagamento em dia,carro novo,6527,nao,1-4 anos,bom
686,positivo,10,já atrasou pagamentos,radio/televisão,1347,nao,4-7 anos,bom
687,positivo,36,já atrasou pagamentos,carro novo,2862,nao,> 7 anos,bom
688,sem conta,9,pagamento em dia,radio/televisão,2753,nao,> 7 anos,bom
